x,y,z
6.25185442162,2.5711683904,0
5.33177651513,10.953270781,0
0.546912649712,3.34031590794,0
4.61469053233,4.90925732322,0
8.9651832655,1.14426361029,0
1.7028734558,-0.658996960919,0
0.492880380761,-1.16378085826,0
6.06569782533,13.4809624387,0
4.18117206609,8.07047570817,0
5.90699599048,5.8512876095,0
8.21539510938,11.9386110799,0
4.34853700899,-1.09658460309,0
4.27132716808,2.95158151356,0
6.63051157704,2.25961096359,0
8.64923582625,9.66833767267,0
2.66442765839,7.30356686072,0
5.49807343908,6.90156202306,0
-0.287890767709,4.51713182312,0
10.8026048216,8.11002308669,0
7.45411930999,4.63135696433,0
5.58592940271,5.34956290828,0
5.46364871728,5.19943915034,0
3.29358468761,3.75500661929,0
3.1932680601,8.31031818304,0
5.77176564632,7.70263251764,0
4.86648024555,8.73510076443,0
5.90503921131,2.60151033612,0
-0.122806176949,3.00253926627,0
2.83761036197,5.07194153875,0
7.22920894177,3.99717632695,0
8.77233143615,-1.98512933915,0
9.11516642612,6.03262988031,0
6.15700582224,7.41727676337,0
3.03089415793,9.18433703827,0
13.1186411048,-6.46218201555,0
10.9780088174,3.68329749079,0
4.90836519206,3.79438166716,0
10.4325538051,10.8488944103,0
7.98022007699,3.35208642451,0
8.27884323916,7.19310039885,0
4.47962895796,9.35124705473,0
8.69325383818,1.65678895343,0
10.0471994643,2.48649404215,0
1.6363464449,0.524624140488,0
3.7365513117,5.6385718386,0
4.49628975173,1.53111697008,0
10.8073329285,2.1773596829,0
2.79045064452,-0.789040647205,0
0.811132624749,3.23160417035,0
4.14632514834,5.11632057605,0
0.370209891859,3.64884829069,0
5.30932352296,1.81068168446,0
5.4939765554,2.63527357074,0
7.06499970737,2.66085958716,0
5.22188023447,6.13678431969,0
6.15624524206,7.78195492698,0
7.36646840274,8.42200695667,0
1.08277647067,5.14525143102,0
4.63004585253,1.86217079884,0
4.68174151789,1.63054219689,0
7.50994566207,2.55737288838,0
4.01753470717,4.99297249838,0
1.47844549716,4.24826583325,0
9.90659318917,7.43289074686,0
5.19233858564,3.0893091592,0
4.71446654238,2.23821779627,0
5.79393823247,-1.78093379045,0
3.01169737474,8.31629463409,0
7.35381402084,2.66127575475,0
